,label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
4491,30737.170861206137,-0.3209876253025872,13.791011992173834,24.820012468258188,-21.64306348920677,34.38452955805288,-1.463061065377709,-40.66215538377227,-5.7485005839842085,0.7550170527602926,-116.28235270373156,-12.782763125591464,-32.7723929606682
712,-65910.5981673549,-0.5610517003382165,23.15299355846037,20.014317589245454,-29.62849182179637,24.71153939284265,3.689202065241034,-16.05193291586563,3.626219013754735,23.526075448675165,173.1255253361458,3.702716148535459,-6.867754161705284
9484,-587.6652693723757,-6.313696807712141,1.6068134952762891,19.003463977030627,-24.79587013110735,17.963178165145663,4.458343074022237,10.99000849480218,-10.933141132248045,-22.906378766338683,31.702156235826788,9.631836280849864,31.67824637044958
4330,-21796.286916809924,-1.68336860851506,36.096847055013846,17.84429325934178,-20.63830997300805,37.31440239123207,-0.5392417352147123,68.41980179254378,0.6840488011722465,-23.21406069089493,89.99315894501743,-3.455966736512188,-108.3566492007788
1396,-16632.229473109386,-1.2765084230761397,30.32633678008167,24.18942167515949,-19.147691977068845,41.12463035233718,8.730039558008398,-115.73952696837571,-11.81139596354431,-42.76932503902421,117.07900354162726,-9.6848425718121,14.03415630529771
7882,5794.3320055306185,-2.086311234828204,33.240199002057544,11.995290153152265,-31.796525708794373,28.73486585089068,4.555791203152462,30.27048080424549,-14.659031000264108,0.8529316955856814,47.3990166100191,1.3311133642339057,51.614291795819454
5030,54626.46299457292,-0.6801400261932904,36.16983835951389,31.13429192770636,-24.62163727245396,37.76623508808122,-0.576491592119659,0.4419248353721112,-1.9889657692552167,-32.89983516582216,-67.3817512973308,-21.089711526195277,37.75105349349829
3149,18825.740201434644,-8.284535327293328,10.462777794043747,33.56737349829555,-27.625097295332463,16.354999647233946,4.961452662775796,6.620860371460823,7.1078196880018325,23.76025452396336,-9.512871199187314,17.56313316951516,34.451781059643736
8995,-7113.4832381457545,-0.6241718722487157,27.98580526377397,27.886931741848656,-25.509219043944725,15.294355604866608,-3.1165570267319995,-142.074303297121,0.4195583056069809,-18.97280064575276,32.01010829684358,2.092868393834612,28.626156317676987
4259,29165.36525160571,-4.118682628214106,21.02674329320848,24.509839395215,-29.067498356435703,31.47546214558724,8.635249638161344,100.34627119976967,-22.385526440971613,-5.259336461436455,3.913165981426363,12.259400522214806,43.835614036700406
8528,15626.067532944951,-3.715397566949642,27.75765105039587,23.65224921293776,-18.323572583309108,33.353531609675166,2.5540885956811348,-85.6648725785611,7.321626979675793,-21.32237021959849,-42.91184884571652,3.1793141724356446,0.9014367229028916
9326,-8004.494537886212,-0.1108830072574134,2.397715344959588,24.222580113455084,-27.75526084314268,13.248623901696718,-2.350292364738732,-57.33668128034742,-12.623075626363413,20.352987931428217,89.30982069884249,7.608478776497859,108.78216760898394
2765,-18286.46368980567,-0.3575924898910575,22.638757371743868,21.05899717725361,-33.548605890734606,39.10420265578385,-0.181935223635163,-119.41979877682526,-2.3712801575408915,-0.727938992944889,3.379338788317465,-0.8140709802543702,-93.03796041802605
8615,7697.968644367975,-0.8314924981708607,5.385782867167623,17.960761704212544,-12.914967230108829,39.072546152301655,3.592165855679108,28.078759912456025,-3.264398645742287,-35.91303000966768,-65.37428205708358,26.83831883594007,-45.05787332161738
